"min.date","max.date","scenario","model_name","temporalDriverUncertainty","spatialDriverUncertainty","rank.name","species","fcast_type","model_id"
"20130601","20151101","Legacy only","cycl_only",TRUE,TRUE,"nitrification","nitrification","Functional","cycl_only_nitrification_20130601_20151101"
"20130601","20151101","Legacy only","env_cov",TRUE,TRUE,"nitrification","nitrification","Functional","env_cov_nitrification_20130601_20151101"
"20130601","20151101","Legacy only","env_cycl",TRUE,TRUE,"nitrification","nitrification","Functional","env_cycl_nitrification_20130601_20151101"
"20130601","20170101","Legacy + 1 year current methods","cycl_only",TRUE,TRUE,"nitrification","nitrification","Functional","cycl_only_nitrification_20130601_20170101"
"20130601","20170101","Legacy + 1 year current methods","env_cov",TRUE,TRUE,"nitrification","nitrification","Functional","env_cov_nitrification_20130601_20170101"
"20130601","20170101","Legacy + 1 year current methods","env_cycl",TRUE,TRUE,"nitrification","nitrification","Functional","env_cycl_nitrification_20130601_20170101"
"20130601","20180101","Legacy with covariate 2013-2018","cycl_only",TRUE,TRUE,"nitrification","nitrification","Functional","cycl_only_nitrification_20130601_20180101"
"20130601","20180101","Legacy with covariate 2013-2018","env_cov",TRUE,TRUE,"nitrification","nitrification","Functional","env_cov_nitrification_20130601_20180101"
"20130601","20180101","Legacy with covariate 2013-2018","env_cycl",TRUE,TRUE,"nitrification","nitrification","Functional","env_cycl_nitrification_20130601_20180101"
"20151101","20180101","2 year current methods","cycl_only",TRUE,TRUE,"nitrification","nitrification","Functional","cycl_only_nitrification_20151101_20180101"
"20151101","20180101","2 year current methods","env_cov",TRUE,TRUE,"nitrification","nitrification","Functional","env_cov_nitrification_20151101_20180101"
"20151101","20180101","2 year current methods","env_cycl",TRUE,TRUE,"nitrification","nitrification","Functional","env_cycl_nitrification_20151101_20180101"
"20151101","20180101","Legacy with covariate 2013-2018","cycl_only",TRUE,TRUE,"nitrification","nitrification","Functional","cycl_only_nitrification_20130601_20180101"
"20151101","20180101","Legacy with covariate 2013-2018","env_cov",TRUE,TRUE,"nitrification","nitrification","Functional","env_cov_nitrification_20130601_20180101"
"20151101","20180101","Legacy with covariate 2013-2018","env_cycl",TRUE,TRUE,"nitrification","nitrification","Functional","env_cycl_nitrification_20130601_20180101"
"20151101","20200101","Full dataset","cycl_only",TRUE,TRUE,"nitrification","nitrification","Functional","cycl_only_nitrification_20151101_20200101"
"20151101","20200101","Full dataset","env_cov",TRUE,TRUE,"nitrification","nitrification","Functional","env_cov_nitrification_20151101_20200101"
"20151101","20200101","Full dataset","env_cycl",TRUE,TRUE,"nitrification","nitrification","Functional","env_cycl_nitrification_20151101_20200101"
"20130601","20151101","Legacy only","cycl_only",TRUE,TRUE,"denitrification","denitrification","Functional","cycl_only_denitrification_20130601_20151101"
"20130601","20151101","Legacy only","env_cov",TRUE,TRUE,"denitrification","denitrification","Functional","env_cov_denitrification_20130601_20151101"
"20130601","20151101","Legacy only","env_cycl",TRUE,TRUE,"denitrification","denitrification","Functional","env_cycl_denitrification_20130601_20151101"
"20130601","20170101","Legacy + 1 year current methods","cycl_only",TRUE,TRUE,"denitrification","denitrification","Functional","cycl_only_denitrification_20130601_20170101"
"20130601","20170101","Legacy + 1 year current methods","env_cov",TRUE,TRUE,"denitrification","denitrification","Functional","env_cov_denitrification_20130601_20170101"
"20130601","20170101","Legacy + 1 year current methods","env_cycl",TRUE,TRUE,"denitrification","denitrification","Functional","env_cycl_denitrification_20130601_20170101"
"20130601","20180101","Legacy with covariate 2013-2018","cycl_only",TRUE,TRUE,"denitrification","denitrification","Functional","cycl_only_denitrification_20130601_20180101"
"20130601","20180101","Legacy with covariate 2013-2018","env_cov",TRUE,TRUE,"denitrification","denitrification","Functional","env_cov_denitrification_20130601_20180101"
"20130601","20180101","Legacy with covariate 2013-2018","env_cycl",TRUE,TRUE,"denitrification","denitrification","Functional","env_cycl_denitrification_20130601_20180101"
"20151101","20180101","2 year current methods","cycl_only",TRUE,TRUE,"denitrification","denitrification","Functional","cycl_only_denitrification_20151101_20180101"
"20151101","20180101","2 year current methods","env_cov",TRUE,TRUE,"denitrification","denitrification","Functional","env_cov_denitrification_20151101_20180101"
"20151101","20180101","2 year current methods","env_cycl",TRUE,TRUE,"denitrification","denitrification","Functional","env_cycl_denitrification_20151101_20180101"
"20151101","20180101","Legacy with covariate 2013-2018","cycl_only",TRUE,TRUE,"denitrification","denitrification","Functional","cycl_only_denitrification_20130601_20180101"
"20151101","20180101","Legacy with covariate 2013-2018","env_cov",TRUE,TRUE,"denitrification","denitrification","Functional","env_cov_denitrification_20130601_20180101"
"20151101","20180101","Legacy with covariate 2013-2018","env_cycl",TRUE,TRUE,"denitrification","denitrification","Functional","env_cycl_denitrification_20130601_20180101"
"20151101","20200101","Full dataset","cycl_only",TRUE,TRUE,"denitrification","denitrification","Functional","cycl_only_denitrification_20151101_20200101"
"20151101","20200101","Full dataset","env_cov",TRUE,TRUE,"denitrification","denitrification","Functional","env_cov_denitrification_20151101_20200101"
"20151101","20200101","Full dataset","env_cycl",TRUE,TRUE,"denitrification","denitrification","Functional","env_cycl_denitrification_20151101_20200101"
"20130601","20151101","Legacy only","cycl_only",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","cycl_only_chitinolytic_20130601_20151101"
"20130601","20151101","Legacy only","env_cov",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","env_cov_chitinolytic_20130601_20151101"
"20130601","20151101","Legacy only","env_cycl",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","env_cycl_chitinolytic_20130601_20151101"
"20130601","20170101","Legacy + 1 year current methods","cycl_only",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","cycl_only_chitinolytic_20130601_20170101"
"20130601","20170101","Legacy + 1 year current methods","env_cov",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","env_cov_chitinolytic_20130601_20170101"
"20130601","20170101","Legacy + 1 year current methods","env_cycl",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","env_cycl_chitinolytic_20130601_20170101"
"20130601","20180101","Legacy with covariate 2013-2018","cycl_only",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","cycl_only_chitinolytic_20130601_20180101"
"20130601","20180101","Legacy with covariate 2013-2018","env_cov",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","env_cov_chitinolytic_20130601_20180101"
"20130601","20180101","Legacy with covariate 2013-2018","env_cycl",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","env_cycl_chitinolytic_20130601_20180101"
"20151101","20180101","2 year current methods","cycl_only",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","cycl_only_chitinolytic_20151101_20180101"
"20151101","20180101","2 year current methods","env_cov",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","env_cov_chitinolytic_20151101_20180101"
"20151101","20180101","2 year current methods","env_cycl",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","env_cycl_chitinolytic_20151101_20180101"
"20151101","20180101","Legacy with covariate 2013-2018","cycl_only",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","cycl_only_chitinolytic_20130601_20180101"
"20151101","20180101","Legacy with covariate 2013-2018","env_cov",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","env_cov_chitinolytic_20130601_20180101"
"20151101","20180101","Legacy with covariate 2013-2018","env_cycl",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","env_cycl_chitinolytic_20130601_20180101"
"20151101","20200101","Full dataset","cycl_only",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","cycl_only_chitinolytic_20151101_20200101"
"20151101","20200101","Full dataset","env_cov",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","env_cov_chitinolytic_20151101_20200101"
"20151101","20200101","Full dataset","env_cycl",TRUE,TRUE,"chitinolytic","chitinolytic","Functional","env_cycl_chitinolytic_20151101_20200101"
"20130601","20151101","Legacy only","cycl_only",TRUE,TRUE,"lignolytic","lignolytic","Functional","cycl_only_lignolytic_20130601_20151101"
"20130601","20151101","Legacy only","env_cov",TRUE,TRUE,"lignolytic","lignolytic","Functional","env_cov_lignolytic_20130601_20151101"
"20130601","20151101","Legacy only","env_cycl",TRUE,TRUE,"lignolytic","lignolytic","Functional","env_cycl_lignolytic_20130601_20151101"
"20130601","20170101","Legacy + 1 year current methods","cycl_only",TRUE,TRUE,"lignolytic","lignolytic","Functional","cycl_only_lignolytic_20130601_20170101"
"20130601","20170101","Legacy + 1 year current methods","env_cov",TRUE,TRUE,"lignolytic","lignolytic","Functional","env_cov_lignolytic_20130601_20170101"
"20130601","20170101","Legacy + 1 year current methods","env_cycl",TRUE,TRUE,"lignolytic","lignolytic","Functional","env_cycl_lignolytic_20130601_20170101"
